t_s,mesh_sysid,role,lat,lon,rel_alt_m
99.95,1,leader,-35.3632609,149.1652298,15.00
100.45,1,leader,-35.3632609,149.1652298,15.00
100.95,1,leader,-35.3632609,149.1652298,15.00
101.45,1,leader,-35.3632609,149.1652298,15.00
101.95,1,leader,-35.3632609,149.1652298,15.00
102.45,1,leader,-35.3632609,149.1652298,15.00
102.95,1,leader,-35.3632609,149.1652298,15.00
103.45,1,leader,-35.3632609,149.1652298,15.00
103.95,1,leader,-35.3632609,149.1652298,15.00
104.45,1,leader,-35.3632609,149.1652298,15.00
104.95,1,leader,-35.3632609,149.1652298,15.00
105.45,1,leader,-35.3632609,149.1652298,15.00
105.95,1,leader,-35.3632609,149.1652298,15.00
106.45,1,leader,-35.3632609,149.1652298,15.00
106.95,1,leader,-35.3632609,149.1652298,15.00
107.45,1,leader,-35.3632609,149.1652298,15.00
107.95,1,leader,-35.3632609,149.1652298,15.00
108.45,1,leader,-35.3632609,149.1652298,15.00
108.95,1,leader,-35.3632609,149.1652298,15.00
109.46,1,leader,-35.3632609,149.1652298,15.00
109.95,1,leader,-35.3632609,149.1652298,15.00
110.45,1,leader,-35.3632609,149.1652298,15.00
110.95,1,leader,-35.3632609,149.1652298,15.00
111.45,1,leader,-35.3632609,149.1652298,15.00
111.95,1,leader,-35.3632609,149.1652298,15.00
112.45,1,leader,-35.3632609,149.1652298,15.00
112.95,1,leader,-35.3632609,149.1652298,15.00
113.45,1,leader,-35.3632609,149.1652298,15.00
113.95,1,leader,-35.3632609,149.1652298,15.00
114.46,1,leader,-35.3632609,149.1652298,15.00
114.95,1,leader,-35.3632609,149.1652298,15.00
115.46,1,leader,-35.3632609,149.1652298,15.00
115.96,1,leader,-35.3632609,149.1652298,15.00
116.46,1,leader,-35.3632609,149.1652298,15.00
116.96,1,leader,-35.3632609,149.1652298,15.00
117.45,1,leader,-35.3632609,149.1652298,15.00
117.96,1,leader,-35.3632609,149.1652298,15.00
118.45,1,leader,-35.3632609,149.1652298,15.00
118.95,1,leader,-35.3632609,149.1652298,15.00
119.46,1,leader,-35.3632609,149.1652298,15.00
119.95,1,leader,-35.3632609,149.1652298,15.00
120.45,1,leader,-35.3632609,149.1652298,15.00
120.96,1,leader,-35.3632609,149.1652298,15.00
121.46,1,leader,-35.3632609,149.1652298,15.00
121.95,1,leader,-35.3632609,149.1652298,15.00
122.46,1,leader,-35.3632609,149.1652298,15.00
122.96,1,leader,-35.3632609,149.1652298,15.00
123.46,1,leader,-35.3632609,149.1652298,15.00
123.96,1,leader,-35.3632609,149.1652298,15.00
124.46,1,leader,-35.3632605,149.1652297,15.00
124.95,1,leader,-35.3632562,149.1652296,15.00
125.46,1,leader,-35.3632483,149.1652295,15.00
125.96,1,leader,-35.3632396,149.1652295,15.00
126.45,1,leader,-35.3632308,149.1652295,15.00
126.95,1,leader,-35.3632220,149.1652295,15.00
127.46,1,leader,-35.3632130,149.1652296,15.00
127.96,1,leader,-35.3632040,149.1652296,15.00
128.46,1,leader,-35.3631948,149.1652296,15.00
128.95,1,leader,-35.3631857,149.1652296,15.00
129.46,1,leader,-35.3631765,149.1652296,15.00
129.96,1,leader,-35.3631675,149.1652296,15.00
130.46,1,leader,-35.3631584,149.1652296,15.00
130.96,1,leader,-35.3631494,149.1652296,15.00
131.46,1,leader,-35.3631404,149.1652296,15.00
131.96,1,leader,-35.3631314,149.1652295,15.00
132.46,1,leader,-35.3631224,149.1652295,15.00
132.95,1,leader,-35.3631134,149.1652295,15.00
133.45,1,leader,-35.3631044,149.1652295,15.00
133.96,1,leader,-35.3630954,149.1652295,15.00
134.45,1,leader,-35.3630864,149.1652295,15.00
134.95,1,leader,-35.3630774,149.1652295,15.00
135.46,1,leader,-35.3630684,149.1652295,15.00
135.96,1,leader,-35.3630594,149.1652295,15.00
136.45,1,leader,-35.3630504,149.1652295,15.00
136.96,1,leader,-35.3630414,149.1652296,15.00
137.46,1,leader,-35.3630324,149.1652296,15.00
137.96,1,leader,-35.3630234,149.1652296,15.00
138.46,1,leader,-35.3630145,149.1652296,15.00
138.96,1,leader,-35.3630055,149.1652296,15.00
139.46,1,leader,-35.3629967,149.1652296,15.00
139.96,1,leader,-35.3629910,149.1652298,15.00
140.46,1,leader,-35.3629901,149.1652338,15.00
140.96,1,leader,-35.3629904,149.1652430,15.01
141.46,1,leader,-35.3629903,149.1652537,15.01
141.96,1,leader,-35.3629901,149.1652645,15.00
142.46,1,leader,-35.3629901,149.1652752,15.00
142.96,1,leader,-35.3629901,149.1652860,15.00
143.46,1,leader,-35.3629903,149.1652971,15.00
143.96,1,leader,-35.3629905,149.1653082,15.00
144.46,1,leader,-35.3629907,149.1653194,15.00
144.96,1,leader,-35.3629908,149.1653306,15.00
145.46,1,leader,-35.3629909,149.1653419,15.00
145.96,1,leader,-35.3629910,149.1653531,15.00
146.46,1,leader,-35.3629910,149.1653643,15.00
146.96,1,leader,-35.3629910,149.1653754,15.00
147.46,1,leader,-35.3629910,149.1653864,15.00
147.96,1,leader,-35.3629910,149.1653975,15.00
148.46,1,leader,-35.3629910,149.1654086,15.00
148.96,1,leader,-35.3629910,149.1654197,15.00
149.46,1,leader,-35.3629910,149.1654307,15.00
149.96,1,leader,-35.3629910,149.1654417,15.00
150.46,1,leader,-35.3629910,149.1654528,15.00
150.96,1,leader,-35.3629910,149.1654638,15.00
151.46,1,leader,-35.3629910,149.1654748,15.00
151.96,1,leader,-35.3629910,149.1654859,15.00
152.46,1,leader,-35.3629910,149.1654969,15.00
152.96,1,leader,-35.3629910,149.1655080,15.00
153.46,1,leader,-35.3629910,149.1655190,15.00
153.96,1,leader,-35.3629910,149.1655300,15.00
154.46,1,leader,-35.3629910,149.1655410,15.00
154.96,1,leader,-35.3629911,149.1655495,15.00
155.46,1,leader,-35.3629932,149.1655517,15.00
155.96,1,leader,-35.3630000,149.1655515,15.01
156.46,1,leader,-35.3630086,149.1655516,15.01
156.96,1,leader,-35.3630174,149.1655517,15.00
157.46,1,leader,-35.3630261,149.1655518,15.00
157.96,1,leader,-35.3630348,149.1655517,15.00
158.46,1,leader,-35.3630437,149.1655515,15.00
158.96,1,leader,-35.3630528,149.1655512,15.00
159.46,1,leader,-35.3630619,149.1655510,15.00
159.96,1,leader,-35.3630710,149.1655508,15.00
160.46,1,leader,-35.3630802,149.1655507,15.00
160.96,1,leader,-35.3630894,149.1655506,15.00
161.46,1,leader,-35.3630985,149.1655506,15.00
161.96,1,leader,-35.3631075,149.1655505,15.00
162.46,1,leader,-35.3631166,149.1655505,15.00
162.96,1,leader,-35.3631257,149.1655505,15.00
163.46,1,leader,-35.3631347,149.1655505,15.00
163.96,1,leader,-35.3631437,149.1655505,15.00
164.46,1,leader,-35.3631527,149.1655505,15.00
164.96,1,leader,-35.3631617,149.1655505,15.00
165.46,1,leader,-35.3631708,149.1655505,15.00
165.96,1,leader,-35.3631797,149.1655506,15.00
166.46,1,leader,-35.3631887,149.1655506,15.00
166.97,1,leader,-35.3631978,149.1655506,15.00
167.47,1,leader,-35.3632068,149.1655506,15.00
167.96,1,leader,-35.3632158,149.1655505,15.00
168.46,1,leader,-35.3632247,149.1655505,15.00
168.96,1,leader,-35.3632337,149.1655505,15.00
169.46,1,leader,-35.3632427,149.1655505,15.00
169.96,1,leader,-35.3632505,149.1655505,15.00
170.46,1,leader,-35.3632535,149.1655489,15.00
170.96,1,leader,-35.3632533,149.1655417,15.00
171.47,1,leader,-35.3632534,149.1655313,15.01
171.96,1,leader,-35.3632536,149.1655207,15.00
172.47,1,leader,-35.3632537,149.1655101,15.00
172.96,1,leader,-35.3632536,149.1654994,15.00
173.47,1,leader,-35.3632535,149.1654886,15.00
173.96,1,leader,-35.3632532,149.1654775,15.00
174.46,1,leader,-35.3632530,149.1654663,15.00
174.97,1,leader,-35.3632528,149.1654550,15.00
175.46,1,leader,-35.3632527,149.1654437,15.00
175.97,1,leader,-35.3632527,149.1654325,15.00
176.46,1,leader,-35.3632526,149.1654213,15.00
176.97,1,leader,-35.3632526,149.1654102,15.00
177.47,1,leader,-35.3632526,149.1653991,15.00
177.96,1,leader,-35.3632526,149.1653880,15.00
178.46,1,leader,-35.3632525,149.1653770,15.00
178.97,1,leader,-35.3632525,149.1653659,15.00
179.46,1,leader,-35.3632526,149.1653548,15.00
179.97,1,leader,-35.3632526,149.1653438,15.00
180.47,1,leader,-35.3632526,149.1653328,15.00
180.97,1,leader,-35.3632526,149.1653217,15.00
181.47,1,leader,-35.3632526,149.1653107,15.00
181.96,1,leader,-35.3632526,149.1652996,15.00
182.47,1,leader,-35.3632526,149.1652886,15.00
182.97,1,leader,-35.3632526,149.1652776,15.00
183.46,1,leader,-35.3632526,149.1652666,15.00
183.97,1,leader,-35.3632526,149.1652555,15.00
184.47,1,leader,-35.3632526,149.1652445,15.00
184.97,1,leader,-35.3632525,149.1652341,15.00
185.47,1,leader,-35.3632525,149.1652288,15.00
185.97,1,leader,-35.3632524,149.1652276,15.00
186.47,1,leader,-35.3632524,149.1652273,15.00
186.97,1,leader,-35.3632524,149.1652272,15.00
187.47,1,leader,-35.3632524,149.1652271,15.00
187.97,1,leader,-35.3632524,149.1652270,15.00
188.47,1,leader,-35.3632524,149.1652271,15.00
188.97,1,leader,-35.3632524,149.1652272,15.00
189.47,1,leader,-35.3632525,149.1652273,15.00
189.97,1,leader,-35.3632525,149.1652275,15.00
190.47,1,leader,-35.3632525,149.1652276,15.00
190.97,1,leader,-35.3632525,149.1652277,15.00
46.94,2,follower,-35.3632873,149.1652596,2.23
47.44,2,follower,-35.3632873,149.1652596,3.39
47.94,2,follower,-35.3632873,149.1652596,4.67
48.44,2,follower,-35.3632873,149.1652596,5.95
48.94,2,follower,-35.3632873,149.1652596,7.19
49.44,2,follower,-35.3632873,149.1652596,8.42
49.94,2,follower,-35.3632873,149.1652596,9.66
50.44,2,follower,-35.3632873,149.1652596,10.90
50.94,2,follower,-35.3632873,149.1652596,12.13
51.44,2,follower,-35.3632873,149.1652596,13.29
51.94,2,follower,-35.3632873,149.1652596,14.77
52.44,2,follower,-35.3632873,149.1652595,16.54
52.94,2,follower,-35.3632873,149.1652595,17.84
53.44,2,follower,-35.3632873,149.1652595,18.72
53.94,2,follower,-35.3632873,149.1652595,19.32
54.44,2,follower,-35.3632873,149.1652595,19.68
54.94,2,follower,-35.3632873,149.1652595,19.80
55.44,2,follower,-35.3632873,149.1652594,19.69
55.94,2,follower,-35.3632872,149.1652594,19.33
56.44,2,follower,-35.3632872,149.1652593,18.71
56.94,2,follower,-35.3632872,149.1652593,17.93
57.45,2,follower,-35.3632872,149.1652593,17.16
57.94,2,follower,-35.3632872,149.1652593,16.42
